ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
105,A Wrinkle in Time,"L'Engle, Madeleine",1962,all rights reserved,Puffin Books; Penguin Books Ltd,A_Wrinkle_in_Time,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/A%20Wrinkle%20in%20Time%20-%20Madeleine%20L%27engle.epub
106,Call Me Brooklyn,"Lago, Eduardo",2006,all rights reserved,Dalkey Archive Press,Call_Me_Brooklyn,TRUE,https://the-eye.eu/public/Books/Bibliotik/C/Call%20Me%20Brooklyn%20-%20Eduardo%20Lago.epub
107,Dead Wake,"Larson, Erik",2015,all rights reserved,Crown Publishers,Dead_Wake,TRUE,https://the-eye.eu/public/Books/Bibliotik/D/Dead%20Wake%20-%20Erik%20Larson.epub
108,The Girl with the Dragon Tattoo,"Larsson, Stieg",2005,all rights reserved,Alfred A. Knopf,The_Girl_with_the_Dragon_Tattoo,FALSE,https://the-eye.eu/public/Books/Bibliotik/G/Girl%20with%20the%20Dragon%20Tattoo%20-%20Stieg%20Larsson.epub
109,The Daughter of Odren,"Le Guin, Ursula K.",2014,all rights reserved,Houghton Mifflin Harcourt Publishing Company,The_Daughter_of_Odren,FALSE,https://the-eye.eu/public/Books/Bibliotik/U/Ursula%20K.%20Le%20Guin%20-%20Earthsea%2006.5%20-%20The%20Daughter%20of%20Odren%20%5Bretail%5D.epub
110,The Chronicles of Narnia,"Lewis, C. S.",1950,all rights reserved,Penguin Random House,The_Chronicles_of_Narnia,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Chronicles%20of%20Narnia%20-%20C.S.%20Lewis.epub
111,After I’m Gone,"Lippman, Laura",2014,all rights reserved,HarperCollins e-books,After_I_m_Gone,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/After%20I%27m%20Gone%20-%20Laura%20Lippman.epub
112,Sunburn,"Lippman, Laura",2018,all rights reserved,Faber & Faber Ltd; William Morrow,Sunburn,FALSE,https://the-eye.eu/public/Books/Bibliotik/S/Sunburn%20-%20Laura%20Lippman.epub
113,Marvel's Spider-Man: Hostile Takeover,"Liss, David",2018,all rights reserved,Titan Books; Titan Publishing Group Ltd,Marvel_s_Spider-Man_Hostile_Takeover,TRUE,https://the-eye.eu/public/Books/Bibliotik/M/Marvel%27s%20Spider-Man_%20Hostile%20Ta%20-%20David%20Liss.epub
114,Anastasia on Her Own,"Lowry, Lois",1985,all rights reserved,Houghton Mifflin Books for Children; Houghton Mifflin Harcourt Publishing Company,Anastasia_on_Her_Own,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/Anastasia%20on%20Her%20Own%20-%20Lois%20Lowry.epub
115,Nixon in China,"MacMillan, Margaret",2006,all rights reserved,Penguin Group (Canada),Nixon_in_China,TRUE,https://the-eye.eu/public/Books/Bibliotik/N/Nixon%20in%20China%20-%20Margaret%20Macmillan.epub
116,The Doomsday Prophecy,"Mariani, Scott",2009,all rights reserved,Avon; HarperCollins Publishers Ltd.,The_Doomsday_Prophecy,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Doomsday%20Prophecy%20-%20Scott%20Mariani.epub
117,A Game of Thrones,"Martin, George R. R.",1996,all rights reserved,Bantam Books,A_Game_of_Thrones,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/A%20Game%20of%20Thrones%20-%20George%20R.%20R.%20Martin.epub
118,Rough-Hewn Land,"Meldahl, Keith Heyer",2011,all rights reserved,"University of California Press; University of California Press, Ltd.",Rough-Hewn_Land,TRUE,https://the-eye.eu/public/Books/Bibliotik/R/Rough-Hewn%20Land.epub
119,Twilight,"Meyer, Stephenie",2005,all rights reserved,"Little, Brown and Company; Hachette Book Group",Twilight,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/Twilight%20-%20Stephenie%20Meyer.epub
120,The Duchess War,"Milan, Courtney",2012,all rights reserved,Courtney Milan (self-published),The_Duchess_War,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Duchess%20War%20-%20Courtney%20Milan.epub
